Dataset name,fragment,events,gridpack,card location
SMS-T5ttcc_Par-mGluino-2050_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2050_fragment.py,2800000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2050_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2050_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2075_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2075_fragment.py,200000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2075_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2075_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2100_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2100_fragment.py,2600000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2100_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2100_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2150_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2150_fragment.py,2600000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2150_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2150_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2200_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2200_fragment.py,2500000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2200_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2200_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2250_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2250_fragment.py,2500000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2250_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2250_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2300_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2300_fragment.py,2400000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2300_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2300_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2350_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2350_fragment.py,2400000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2350_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2350_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2400_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2400_fragment.py,2300000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2400_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2400_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2450_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2450_fragment.py,2300000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2450_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2450_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2500_fragment.py,2200000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2550_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2550_fragment.py,2200000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2550_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2550_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2600_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2600_fragment.py,2100000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2600_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2600_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
